footprint_x,footprint_y,footprint_yaw,bar_height,distance_com_to_polygon,angle_deviation,pos_deviation,axis_label,axis_0,axis_1,axis_2,height_high,height_low,height_mid,yaw_E,yaw_N,yaw_NW,yaw_S,yaw_W
2.4571855068206787,0.8396152853965759,-0.48370984314375476,0.6838362812995911,0.1493959488531352,0.007763346699402587,0.0031916663242192492,2,False,False,True,False,False,True,False,False,True,False,False
2.4571430683135986,0.8396682143211365,-0.48366638798812767,1.262684851884842,0.16876051016456103,0.002042451040568272,0.004511477040370121,1,False,True,False,True,False,False,False,False,True,False,False
2.4571337699890137,0.8396714329719543,-0.48364612947006297,1.2626619040966034,0.1687593166102746,0.0020096444116645034,0.003983586300056468,1,False,True,False,True,False,False,False,False,True,False,False
2.4570252895355225,0.8395670652389526,-0.48342501512819713,0.9689449369907379,0.17929384430488127,0.006281386800924952,0.0030019487884639646,0,True,False,False,False,False,True,False,False,True,False,False
-2.50331449508667,1.3093127012252808,-0.865385435967871,0.5963523769751191,0.18279388327049187,0.027816854288860163,0.003682622347453402,2,False,False,True,False,True,False,False,False,False,False,True
-2.5030932426452637,1.3094404935836792,-0.8649067893403932,0.4462205767631531,0.16982100903425362,0.018988861028483715,0.003308758334058251,1,False,True,False,False,True,False,False,False,False,False,True
-1.9521193504333496,-0.729300320148468,0.22646857044219376,1.2182433381676674,0.17543938958693406,0.0275459795258894,0.003908479091870346,2,False,False,True,True,False,False,False,True,False,False,False
-1.952039122581482,-0.7292546033859253,0.2265538099221611,0.8515063524246216,0.18506884427730091,0.02717415824695002,0.003345711457467131,1,False,True,False,False,False,True,False,True,False,False,False
-1.951877236366272,-0.7292894721031189,0.22660338047831938,1.382484570145607,0.10860914027436162,0.025254750278599747,0.003056736159699318,1,False,True,False,True,False,False,False,True,False,False,False
-1.84721839427948,-0.16235534846782684,1.639351257635572,0.3009643889963627,0.1763253817364659,0.02756092864481151,0.0015031386277071063,0,True,False,False,False,True,False,True,False,False,False,False
-1.847145676612854,-0.16259965300559998,1.6392675251618838,0.3529170826077461,0.2128938613062814,0.019527501252458515,0.0035090502661143164,1,False,True,False,False,True,False,True,False,False,False,False
-1.8471189737319946,-0.16255411505699158,1.6391679259903218,0.5702990088611841,0.155885397362914,0.020680410447948275,0.0050971039760292,2,False,False,True,False,True,False,True,False,False,False,False
-0.13213640451431274,0.23107373714447021,-2.8606156101289675,0.6557978242635727,0.16674226917107338,0.013308323134488827,0.0017988563552543784,0,True,False,False,False,False,True,False,False,False,True,False
-0.13210299611091614,0.23096075654029846,-2.860705309835303,0.37333283200860023,0.19637246549794668,0.00818067707610266,0.0024199196787171987,1,False,True,False,False,True,False,False,False,False,True,False
-0.13201409578323364,0.2305891066789627,-2.86341974191775,0.6641195062547922,0.14993378107370722,0.006204836492009322,0.0025307542001011298,2,False,False,True,False,False,True,False,False,False,True,False
-0.07123585045337677,1.6376515626907349,-1.1080999739714674,0.9409181699156761,0.16514521229576215,0.006494703707425393,0.0027717168481632146,0,True,False,False,False,False,True,False,False,False,False,True
-0.07130683958530426,1.6377031803131104,-1.107598676780724,1.0407686978578568,0.17338542120541311,0.007350576118033603,0.00584528431390481,2,False,False,True,True,False,False,False,False,False,False,True
-0.07130145281553268,1.6374582052230835,-1.1077502537074875,1.3466493487358093,0.11077689066320666,0.013618832464647974,0.0021276384719737963,1,False,True,False,True,False,False,False,False,False,False,True
