take_label,group_label,source_path,target_rigid_body,frame_count,distance_mm_count,distance_mm_mean,distance_mm_median,distance_mm_p95,distance_mm_max,angle_x_deg_count,angle_x_deg_mean,angle_x_deg_median,angle_x_deg_p95,angle_x_deg_max,angle_y_deg_count,angle_y_deg_mean,angle_y_deg_median,angle_y_deg_p95,angle_y_deg_max,angle_z_deg_count,angle_z_deg_mean,angle_z_deg_median,angle_z_deg_p95,angle_z_deg_max
center_markers4_allcameras_nocover_take1 | center | markers_4 | all_cameras | no_cover | take1,center | markers_4 | all_cameras | no_cover,/home/yijiangh/ros2_ws/src/husky-assembly-teleop/data/mocap_experiments/20260311/20260311_cover_study/takes/20260311_153610_center_markers4_allcameras_nocover_take1--center--markers_4--all_cameras--no_cover--take1.json,/a200_0806,1201,1201,0.011497880585293076,0.011156009867869084,0.02038923904123439,0.03143944092499064,1201,0.0017699671262799287,0.0014233807376855937,0.00408643582884883,0.00788768097908782,1201,0.0019395550064524843,0.001751457069947062,0.004127167593087407,0.006694587464899228,1201,0.0023142527241657948,0.0020412231671043317,0.005301143548759176,0.008760225583022804
ws_center_markers4_allcameras_cover_take1 | center | markers_4 | all_cameras | cover | take1,center | markers_4 | all_cameras | cover,/home/yijiangh/ros2_ws/src/husky-assembly-teleop/data/mocap_experiments/20260311/20260311_cover_study/takes/20260311_160437_ws_center_markers4_allcameras_cover_take1--center--markers_4--all_cameras--cover--take1.json,/a200_0806,1201,1201,0.02660068913209133,0.019785608509462194,0.07025805110746765,0.20614073869275926,1201,0.005955609839951435,0.005285604940437259,0.013616606638832561,0.036391372156669995,1201,0.005969311041472083,0.004725520287536555,0.014929870464944803,0.03005301227555897,1201,0.007207936314183209,0.006625350941977473,0.014514423321683097,0.04634269442325701
ws_right_markers4_allcameras_cover_take1 | right | markers_4 | all_cameras | cover | take1,right | markers_4 | all_cameras | cover,/home/yijiangh/ros2_ws/src/husky-assembly-teleop/data/mocap_experiments/20260311/20260311_cover_study/takes/20260311_161602_ws_right_markers4_allcameras_cover_take1--right--markers_4--all_cameras--cover--take1.json,/a200_0806,1201,1201,0.05158171179309203,0.030854846826496966,0.14545629413317906,0.33423945374665986,1201,0.009641769759705737,0.006078140694416861,0.03086510679303159,0.07505001055652662,1201,0.010070912623582132,0.00586903013700762,0.030152528941812598,0.07006286702843673,1201,0.011119250339024618,0.006262255740303386,0.0374068616713395,0.08621189219576074
ws_left_markers4_allcameras_cover_take1 | left | markers_4 | all_cameras | cover | take1,left | markers_4 | all_cameras | cover,/home/yijiangh/ros2_ws/src/husky-assembly-teleop/data/mocap_experiments/20260311/20260311_cover_study/takes/20260311_163540_ws_left_markers4_allcameras_cover_take1--left--markers_4--all_cameras--cover--take1.json,/a200_0806,1201,1201,0.10410305353168021,0.10599766178886887,0.2167149516288612,0.630351339411725,1201,0.0218440512828454,0.021011782419134813,0.05392486433229312,0.11065772479284414,1201,0.021625605009475583,0.022201654503292926,0.04796741752534843,0.09017995171576974,1201,0.02335873493814438,0.0243760196998489,0.05304238055216061,0.09023900233233512
ws_back_markers4_allcameras_cover_take1 | back | markers_4 | all_cameras | cover | take1,back | markers_4 | all_cameras | cover,/home/yijiangh/ros2_ws/src/husky-assembly-teleop/data/mocap_experiments/20260311/20260311_cover_study/takes/20260311_164152_ws_back_markers4_allcameras_cover_take1--back--markers_4--all_cameras--cover--take1.json,/a200_0806,1201,1201,0.04307978870427115,0.019337826568753356,0.1369833631437557,0.37925990817429833,1201,0.00899324820392889,0.004762677245305059,0.028649931442395835,0.09520690316144341,1201,0.00806326703152789,0.0025138026473689435,0.026761653874141044,0.12228263260665258,1201,0.00777968576788383,0.004496209697795592,0.027185608871833102,0.11277270511833894
