take_label,group_label,source_path,target_rigid_body,frame_count,distance_mm_count,distance_mm_mean,distance_mm_median,distance_mm_p95,distance_mm_max,angle_x_deg_count,angle_x_deg_mean,angle_x_deg_median,angle_x_deg_p95,angle_x_deg_max,angle_y_deg_count,angle_y_deg_mean,angle_y_deg_median,angle_y_deg_p95,angle_y_deg_max,angle_z_deg_count,angle_z_deg_mean,angle_z_deg_median,angle_z_deg_p95,angle_z_deg_max
"ws_center_markers6_allcameras_cover_take1 | center | markers_6 | close cameras number:3, closed camera ID: 1, 3, 7 | cover | take1","center | markers_6 | close cameras number:3, closed camera ID: 1, 3, 7 | cover",/home/yijiangh/ros2_ws/src/husky-assembly-teleop/data/mocap_experiments/20260313/20260313_cover_study_02/takes/20260313_161013_ws_center_markers6_allcameras_cover_take1--center--markers_6--close-cameras-number3-closed-camera-id-1-3-7--cover--take1.json,/a200_0806,2101,2101,0.07981031745366723,0.0718273701608148,0.20325426503290067,0.31232286014549,2101,0.01214331507799685,0.010836420709728553,0.02936048942381213,0.04954971760757992,2101,0.009679165722188183,0.007012871736766559,0.028477524097363167,0.06057879699995121,2101,0.011951252942964381,0.010481592763551924,0.032906468183419885,0.07245989847463663
"ws_right_markers6_allcameras_cover_take1 | right | markers_6 | close cameras number:3, closed camera ID: 1, 3, 7 | cover | take1","right | markers_6 | close cameras number:3, closed camera ID: 1, 3, 7 | cover",/home/yijiangh/ros2_ws/src/husky-assembly-teleop/data/mocap_experiments/20260313/20260313_cover_study_02/takes/20260313_161517_ws_right_markers6_allcameras_cover_take1--right--markers_6--close-cameras-number3-closed-camera-id-1-3-7--cover--take1.json,/a200_0806,2101,2101,0.22423843179871863,0.2586974557247398,0.4806619834950429,0.7020780897616767,2101,0.057036763701575274,0.054832824439371146,0.11888843511061388,0.1754873021163383,2101,0.04627310489600083,0.04953315712255851,0.10575515581743551,0.21661878681369848,2101,0.06651233990009968,0.053962562928417494,0.1479779901055692,0.26551958975151185
"ws_left_markers6_allcameras_cover_take1 | left | markers_6 | close cameras number:3, closed camera ID: 1, 3, 7 | cover | take1","left | markers_6 | close cameras number:3, closed camera ID: 1, 3, 7 | cover",/home/yijiangh/ros2_ws/src/husky-assembly-teleop/data/mocap_experiments/20260313/20260313_cover_study_02/takes/20260313_161736_ws_left_markers6_allcameras_cover_take1--left--markers_6--close-cameras-number3-closed-camera-id-1-3-7--cover--take1.json,/a200_0806,2101,2101,0.2106483148464597,0.24976412322354544,0.47080712380021916,0.889569820106716,2101,0.020176549354039716,0.02247895182034969,0.04600628437920387,0.07508092464756541,2101,0.020485534272603273,0.0201188028444839,0.043188108529177906,0.06965182510228732,2101,0.0238633815695894,0.026702563572239033,0.05520302157055996,0.08733526191993489
"ws_back_markers6_allcameras_cover_take1 | back | markers_6 | close cameras number:3, closed camera ID: 1, 3, 7 | cover | take1","back | markers_6 | close cameras number:3, closed camera ID: 1, 3, 7 | cover",/home/yijiangh/ros2_ws/src/husky-assembly-teleop/data/mocap_experiments/20260313/20260313_cover_study_02/takes/20260313_162033_ws_back_markers6_allcameras_cover_take1--back--markers_6--close-cameras-number3-closed-camera-id-1-3-7--cover--take1.json,/a200_0806,2101,2101,0.11260530637425009,0.10570240128870305,0.2620714480165949,0.6078069094702719,2101,0.021970907964027637,0.018644320822156002,0.051536236705823815,0.1203859596513635,2101,0.02008066502237498,0.018004748442702702,0.04813380610131988,0.10798584917663977,2101,0.014898132503212673,0.011314762783062772,0.03661499880147799,0.12506385779712798
