footprint_x,footprint_y,footprint_yaw,bar_height,distance_com_to_polygon,angle_deviation,pos_deviation,axis_label,axis_0,axis_1,axis_2,height_high,height_low,height_mid,yaw_N,yaw_NE,yaw_NW,yaw_S,yaw_SE,yaw_W
0.15950748324394226,-0.0300881490111351,3.1165197611798177,0.8801620490849018,0.19339604780332306,0.003084596050605397,0.014160104901291055,2,False,False,True,False,False,True,False,False,False,False,True,False
0.15963685512542725,-0.02998935803771019,3.1159937635479014,0.8407917618751526,0.17300475186706205,0.001863571257046964,0.012765852416473857,2,False,False,True,False,True,False,False,False,False,False,True,False
0.1596374213695526,-0.030002236366271973,3.1159333951192747,0.826189324259758,0.13556533450151265,0.005608744785663355,0.013801622132439661,0,True,False,False,False,True,False,False,False,False,False,True,False
0.1600763499736786,-0.02999325469136238,3.1157232448891548,0.9153627902269363,0.12506720292387982,0.006096800539533338,0.012491870103410949,1,False,True,False,False,False,True,False,False,False,False,True,False
0.05237550288438797,0.033720992505550385,-2.7062148096522285,0.5950790494680405,0.1268258306724918,0.006663648518529514,0.013420140958161266,1,False,True,False,False,True,False,False,False,False,True,False,False
0.0523139163851738,0.03367375582456589,-2.7064393095293178,1.1837396919727325,0.1099590190726688,0.004906946668331305,0.010746456977851905,2,False,False,True,True,False,False,False,False,False,True,False,False
0.05233214050531387,0.0337238609790802,-2.7060475120231593,0.8354432657361031,0.18207562168287428,0.0038999479821586118,0.011488499476311606,2,False,False,True,False,True,False,False,False,False,True,False,False
0.05287458002567291,0.03466608002781868,-2.704336038616872,1.1829704940319061,0.1362392306302426,0.009522566580656176,0.015030447389238193,1,False,True,False,True,False,False,False,False,False,True,False,False
0.0527820959687233,0.03462505340576172,-2.704478792156808,1.1507977992296219,0.15437361462484936,0.0040728825997068995,0.01054971537661869,1,False,True,False,True,False,False,False,False,False,True,False,False
-0.22998932003974915,0.06544698029756546,-1.538688203081845,1.209415890276432,0.11710669287207974,0.0026670452573341846,0.009092266240002575,2,False,False,True,True,False,False,False,False,False,False,False,True
