group_label,take_count,frame_count,distance_mm_count,distance_mm_mean,distance_mm_median,distance_mm_p95,distance_mm_max,angle_x_deg_count,angle_x_deg_mean,angle_x_deg_median,angle_x_deg_p95,angle_x_deg_max,angle_y_deg_count,angle_y_deg_mean,angle_y_deg_median,angle_y_deg_p95,angle_y_deg_max,angle_z_deg_count,angle_z_deg_mean,angle_z_deg_median,angle_z_deg_p95,angle_z_deg_max
back | markers_8 | all_cameras | cover,1,2101,2101,0.12867337981358012,0.13947409903816213,0.30883094843229675,0.4719573705952039,2101,0.02172862787815367,0.020931299679036636,0.07245006705210304,0.11470597118053136,2101,0.01940995332765504,0.018267245802751082,0.06807616659680449,0.13244241678019736,2101,0.019312352996200648,0.020238762394274232,0.04844544110294535,0.1603791332758235
center | markers_8 | all_cameras | cover,1,2101,2101,0.07951341876059011,0.08786341445692483,0.14383065844656023,0.20234480939471539,2101,0.013390076380016476,0.014333528570329476,0.02522768527838705,0.0433739421447792,2101,0.013675167833241714,0.014711922926514848,0.028686535046788378,0.05448827903530746,2101,0.014736814446094055,0.014672963512511041,0.030613342906041598,0.05475522126480194
left | markers_8 | all_cameras | cover,1,2102,2102,0.21026092476171424,0.2264127411087958,0.4248815327496524,0.8085075172772659,2102,0.015795954718807317,0.012718584010785947,0.039178171095072996,0.07291959834144139,2102,0.019863580513087706,0.013648178441897118,0.05255758475075651,0.09423614147601733,2102,0.017996326370262064,0.014109926102804237,0.04749404202829954,0.06935819116488569
right | markers_8 | all_cameras | cover,1,2100,2100,0.12007305117671256,0.11140068168581539,0.28518106986233943,0.6099206624721568,2100,0.018204402374203954,0.016056036499067387,0.041371212240075686,0.10699803943607018,2100,0.019376987530141818,0.017648846643878113,0.04400343354731486,0.09422580482026181,2100,0.020440718463380685,0.017482359333686248,0.04900872617787641,0.11098875726110581
